时间(s),温度(摄氏度)
327,158.75
327.5,157.87
328,157
328.5,156.12
329,155.25
329.5,154.38
330,153.52
330.5,152.65
331,151.79
331.5,150.94
332,150.08
332.5,149.23
333,148.38
333.5,147.54
334,146.7
334.5,145.86
335,145.02
335.5,144.19
336,143.36
336.5,142.53
337,141.71
337.5,140.89
338,140.07
338.5,139.26
339,138.45
339.5,137.65
340,136.85
340.5,136.05
341,135.25
341.5,134.46
342,133.67
342.5,132.89
343,132.11
343.5,131.33
344,130.56
344.5,129.79
345,129.02
345.5,128.26
346,127.5
346.5,126.75
347,126
347.5,125.25
348,124.51
348.5,123.77
349,123.03
349.5,122.3
350,121.58
350.5,120.85
351,120.13
351.5,119.42
352,118.7
352.5,118
353,117.29
353.5,116.59
354,115.89
354.5,115.2
355,114.51
355.5,113.83
356,113.15
356.5,112.47
357,111.8
357.5,111.13
358,110.46
358.5,109.8
359,109.15
359.5,108.49
360,107.84
360.5,107.2
361,106.56
361.5,105.92
362,105.28
362.5,104.65
363,104.03
363.5,103.41
364,102.79
364.5,102.17
365,101.56
365.5,100.96
366,100.35
366.5,99.754
367,99.159
367.5,98.568
368,97.98
368.5,97.396
369,96.816
369.5,96.24
370,95.667
370.5,95.099
371,94.534
371.5,93.973
372,93.415
372.5,92.861
373,92.311
373.5,91.765
374,91.222
374.5,90.683
375,90.148
375.5,89.616
376,89.088
376.5,88.564
377,88.043
377.5,87.526
378,87.012
378.5,86.502
379,85.995
379.5,85.492
380,84.993
380.5,84.497
381,84.004
381.5,83.515
382,83.03
382.5,82.548
383,82.069
383.5,81.594
384,81.122
384.5,80.653
385,80.188
385.5,79.726
386,79.268
386.5,78.813
387,78.361
387.5,77.913
388,77.468
388.5,77.026
389,76.587
389.5,76.151
390,75.719
390.5,75.29
391,74.864
391.5,74.442
392,74.022
392.5,73.606
393,73.192
393.5,72.782
394,72.375
394.5,71.971
395,71.57
395.5,71.172
396,70.777
396.5,70.385
397,69.996
397.5,69.61
398,69.227
398.5,68.847
399,68.469
399.5,68.095
400,67.724
400.5,67.355
401,66.989
401.5,66.626
402,66.266
402.5,65.909
403,65.554
403.5,65.203
404,64.854
404.5,64.507
405,64.164
405.5,63.823
406,63.485
406.5,63.149
407,62.816
407.5,62.486
408,62.158
408.5,61.833
409,61.511
409.5,61.191
410,60.873
410.5,60.559
411,60.246
411.5,59.936
412,59.629
412.5,59.324
413,59.022
413.5,58.722
414,58.424
414.5,58.129
415,57.836
